lat	lon
14	-120
14	-119.5
14	-119
14	-118.5
14	-118
14	-117.5
14	-117
14	-116.5
14	-116
14	-115.5
14	-115
14	-114.5
14	-114
14	-113.5
14	-113
14	-112.5
14	-112
14	-111.5
14	-111
14	-110.5
14	-110
14	-109.5
14	-109
14	-108.5
14	-108
14	-107.5
14	-107
14	-106.5
14	-106
14	-105.5
14	-105
14	-104.5
14	-104
14	-103.5
14	-103
14	-102.5
14	-102
14	-101.5
14	-101
14	-100.5
14	-100
14	-99.5
14	-99
14	-98.5
14	-98
14	-97.5
14	-97
14	-96.5
14	-96
14	-95.5
14	-95
14	-94.5
14	-94
14	-93.5
14	-93
14	-92.5
14	-92
14	-91.5
14.5	-120
14.5	-119.5
14.5	-119
14.5	-118.5
14.5	-118
14.5	-117.5
14.5	-117
14.5	-116.5
14.5	-116
14.5	-115.5
14.5	-115
14.5	-114.5
14.5	-114
14.5	-113.5
14.5	-113
14.5	-112.5
14.5	-112
14.5	-111.5
14.5	-111
14.5	-110.5
14.5	-110
14.5	-109.5
14.5	-109
14.5	-108.5
14.5	-108
14.5	-107.5
14.5	-107
14.5	-106.5
14.5	-106
14.5	-105.5
14.5	-105
14.5	-104.5
14.5	-104
14.5	-103.5
14.5	-103
14.5	-102.5
14.5	-102
14.5	-101.5
14.5	-101
14.5	-100.5
14.5	-100
14.5	-99.5
14.5	-99
14.5	-98.5
14.5	-98
14.5	-97.5
14.5	-97
14.5	-96.5
14.5	-96
14.5	-95.5
14.5	-95
14.5	-94.5
14.5	-94
14.5	-93.5
14.5	-93
14.5	-92.5
15	-120
15	-119.5
15	-119
15	-118.5
15	-118
15	-117.5
15	-117
15	-116.5
15	-116
15	-115.5
15	-115
15	-114.5
15	-114
15	-113.5
15	-113
15	-112.5
15	-112
15	-111.5
15	-111
15	-110.5
15	-110
15	-109.5
15	-109
15	-108.5
15	-108
15	-107.5
15	-107
15	-106.5
15	-106
15	-105.5
15	-105
15	-104.5
15	-104
15	-103.5
15	-103
15	-102.5
15	-102
15	-101.5
15	-101
15	-100.5
15	-100
15	-99.5
15	-99
15	-98.5
15	-98
15	-97.5
15	-97
15	-96.5
15	-96
15	-95.5
15	-95
15	-94.5
15	-94
15	-93.5
15	-93
15.5	-120
15.5	-119.5
15.5	-119
15.5	-118.5
15.5	-118
15.5	-117.5
15.5	-117
15.5	-116.5
15.5	-116
15.5	-115.5
15.5	-115
15.5	-114.5
15.5	-114
15.5	-113.5
15.5	-113
15.5	-112.5
15.5	-112
15.5	-111.5
15.5	-111
15.5	-110.5
15.5	-110
15.5	-109.5
15.5	-109
15.5	-108.5
15.5	-108
15.5	-107.5
15.5	-107
15.5	-106.5
15.5	-106
15.5	-105.5
15.5	-105
15.5	-104.5
15.5	-104
15.5	-103.5
15.5	-103
15.5	-102.5
15.5	-102
15.5	-101.5
15.5	-101
15.5	-100.5
15.5	-100
15.5	-99.5
15.5	-99
15.5	-98.5
15.5	-98
15.5	-97.5
15.5	-97
15.5	-96.5
15.5	-96
15.5	-95.5
15.5	-95
15.5	-94.5
15.5	-94
15.5	-93.5
16	-120
16	-119.5
16	-119
16	-118.5
16	-118
16	-117.5
16	-117
16	-116.5
16	-116
16	-115.5
16	-115
16	-114.5
16	-114
16	-113.5
16	-113
16	-112.5
16	-112
16	-111.5
16	-111
16	-110.5
16	-110
16	-109.5
16	-109
16	-108.5
16	-108
16	-107.5
16	-107
16	-106.5
16	-106
16	-105.5
16	-105
16	-104.5
16	-104
16	-103.5
16	-103
16	-102.5
16	-102
