di	mi	ai	df	mf	af	suf
21	9	1951	21	12	1951	Nino_1951_Otono
21	9	1953	21	12	1953	Nino_1953_Otono
21	9	1957	21	12	1957	Nino_1957_Otono
21	9	1963	21	12	1963	Nino_1963_Otono
21	9	1965	21	12	1965	Nino_1965_Otono
21	9	1969	21	12	1969	Nino_1969_Otono
21	9	1972	21	12	1972	Nino_1972_Otono
21	9	1976	21	12	1976	Nino_1976_Otono
21	9	1977	21	12	1977	Nino_1977_Otono
21	9	1982	21	12	1982	Nino_1982_Otono
21	9	1986	21	12	1986	Nino_1986_Otono
21	9	1987	21	12	1987	Nino_1987_Otono
21	9	1991	21	12	1991	Nino_1991_Otono
21	9	1994	21	12	1994	Nino_1994_Otono
21	9	1997	21	12	1997	Nino_1997_Otono
21	9	2002	21	12	2002	Nino_2002_Otono
21	9	2004	21	12	2004	Nino_2004_Otono
21	9	2006	21	12	2006	Nino_2006_Otono
21	9	2009	21	12	2009	Nino_2009_Otono
21	9	2015	21	12	2015	Nino_2015_Otono
21	9	2018	21	12	2018	Nino_2018_Otono
21	9	1954	21	12	1954	Nina_1954_Otono
21	9	1955	21	12	1955	Nina_1955_Otono
21	9	1964	21	12	1964	Nina_1964_Otono
21	9	1970	21	12	1970	Nina_1970_Otono
21	9	1971	21	12	1971	Nina_1971_Otono
21	9	1973	21	12	1973	Nina_1973_Otono
21	9	1975	21	12	1975	Nina_1975_Otono
21	9	1983	21	12	1983	Nina_1983_Otono
21	9	1988	21	12	1988	Nina_1988_Otono
21	9	1995	21	12	1995	Nina_1995_Otono
21	9	1998	21	12	1998	Nina_1998_Otono
21	9	1999	21	12	1999	Nina_1999_Otono
21	9	2000	21	12	2000	Nina_2000_Otono
21	9	2007	21	12	2007	Nina_2007_Otono
21	9	2010	21	12	2010	Nina_2010_Otono
21	9	2011	21	12	2011	Nina_2011_Otono
21	9	2016	21	12	2016	Nina_2016_Otono
21	9	2020	21	12	2020	Nina_2020_Otono
21	9	2021	21	12	2021	Nina_2021_Otono
21	9	2022	21	12	2022	Nina_2022_Otono
21	9	1950	21	12	1950	Neutro_1950_Otono
21	9	1952	21	12	1952	Neutro_1952_Otono
21	9	1959	21	12	1959	Neutro_1959_Otono
21	9	1960	21	12	1960	Neutro_1960_Otono
21	9	1961	21	12	1961	Neutro_1961_Otono
21	9	1962	21	12	1962	Neutro_1962_Otono
21	9	1966	21	12	1966	Neutro_1966_Otono
21	9	1967	21	12	1967	Neutro_1967_Otono
21	9	1978	21	12	1978	Neutro_1978_Otono
21	9	1980	21	12	1980	Neutro_1980_Otono
21	9	1981	21	12	1981	Neutro_1981_Otono
21	9	1985	21	12	1985	Neutro_1985_Otono
21	9	1989	21	12	1989	Neutro_1989_Otono
21	9	1990	21	12	1990	Neutro_1990_Otono
21	9	1992	21	12	1992	Neutro_1992_Otono
21	9	1993	21	12	1993	Neutro_1993_Otono
21	9	1996	21	12	1996	Neutro_1996_Otono
21	9	2001	21	12	2001	Neutro_2001_Otono
21	9	2003	21	12	2003	Neutro_2003_Otono
21	9	2012	21	12	2012	Neutro_2012_Otono
21	9	2013	21	12	2013	Neutro_2013_Otono
21	9	2019	21	12	2019	Neutro_2019_Otono
