lat	lon	PwaveProm	PwaveS	PwaveCV	PwaveMed	PwaveMax	PwaveMin	PwindProm	PwindS	PwindCV	PwindMed	PwindMax	PwindMin

14.0	-120.0	28.0678	14.55	51.83	23.3855	72.9043	6.9481	0.1788	0.19	103.8	0.1129	1.124	0.0001

14.0	-119.5	27.977	14.26	50.98	23.451	71.554	6.9504	0.1783	0.18	101.06	0.114	1.0281	0.0

14.0	-119.0	27.7928	14.0	50.39	23.3617	70.7964	8.3876	0.1729	0.17	100.08	0.1132	1.0303	0.0

14.0	-118.5	27.7336	13.77	49.65	23.5499	70.3072	8.1253	0.1691	0.17	99.47	0.1098	1.0087	0.0

14.0	-118.0	27.576	13.55	49.13	23.2594	69.9576	8.0841	0.1664	0.16	99.11	0.1085	0.9102	0.0

14.0	-117.5	27.4419	13.31	48.52	23.1094	69.7709	7.875	0.1639	0.16	97.34	0.1124	0.9127	0.0002

14.0	-117.0	27.393	13.09	47.8	23.2422	69.8481	7.8268	0.1614	0.15	94.3	0.1158	0.8794	0.0

14.0	-116.5	27.2753	12.89	47.24	23.4545	69.4983	7.3399	0.1595	0.15	91.66	0.1174	0.7603	0.0

14.0	-116.0	27.1219	12.63	46.56	23.1687	69.0727	7.4798	0.158	0.14	91.45	0.1155	0.8792	0.0

14.0	-115.5	27.0438	12.39	45.8	23.6831	68.9217	7.2402	0.1568	0.15	94.68	0.1128	1.3989	0.0

14.0	-115.0	26.8902	12.15	45.2	24.053	68.0083	7.1255	0.1577	0.17	107.74	0.1135	2.115	0.0

14.0	-114.5	26.7206	11.92	44.63	23.9706	66.6196	7.2031	0.1584	0.18	112.85	0.1099	1.9233	0.0

14.0	-114.0	26.468	11.74	44.35	23.9241	65.551	7.2655	0.1575	0.18	114.05	0.1064	1.9947	0.0

14.0	-113.5	26.1554	11.48	43.88	23.6257	64.7103	7.4237	0.152	0.17	110.67	0.1023	1.6543	0.0001

14.0	-113.0	25.8312	11.21	43.39	23.4456	64.0723	7.3336	0.1471	0.16	106.09	0.0995	1.3101	0.0

14.0	-112.5	25.5677	10.97	42.89	23.1714	63.3428	7.4743	0.1477	0.16	106.41	0.102	1.2481	0.0

14.0	-112.0	25.2354	10.75	42.58	22.862	62.7824	7.7525	0.1483	0.16	108.14	0.1012	1.5666	0.0

14.0	-111.5	24.9051	10.5	42.17	22.7028	62.3759	8.2842	0.1464	0.16	107.81	0.101	1.3387	0.0

14.0	-111.0	24.5705	10.23	41.63	22.684	61.7908	8.3895	0.1426	0.15	103.04	0.0996	0.9277	0.0

14.0	-110.5	24.1869	10.03	41.49	22.1983	61.0573	8.3998	0.138	0.14	102.21	0.0967	0.8851	0.0

14.0	-110.0	23.856	9.76	40.9	21.8271	60.3829	9.5979	0.1327	0.14	106.57	0.0894	1.093	0.0

14.0	-109.5	23.5176	9.54	40.55	21.373	59.3861	9.2806	0.1277	0.14	111.97	0.0816	1.0758	0.0

14.0	-109.0	23.144	9.29	40.15	20.9624	57.9718	9.0452	0.1228	0.14	117.72	0.0772	1.0026	0.0

14.0	-108.5	22.6442	8.97	39.61	20.226	56.4495	8.8495	0.1184	0.14	122.4	0.0731	1.1334	0.0

14.0	-108.0	22.343	8.75	39.17	20.0298	54.8401	8.674	0.1148	0.15	127.84	0.0666	1.2472	0.0

14.0	-107.5	22.068	8.47	38.37	19.8894	53.2447	8.4705	0.1127	0.16	138.8	0.0604	1.81	0.0

14.0	-107.0	21.722	8.19	37.7	19.7734	51.544	8.1094	0.1089	0.16	143.78	0.0544	1.4515	0.0

