lat	lon	s_PwaveMed	s_PwaveMin	s_PwaveMax	s_PwindMed	s_PwindMin	s_PwindMax
14.0	-120.0	-5.1349	-9.5269	-61.9881	0.9004	0.0016	-0.5233
14.0	-119.5	-5.6184	-8.3151	-82.5638	0.8817	0.0002	2.3221
14.0	-119.0	-5.9049	-3.3349	-87.1659	0.7379	-0.0033	3.9302
14.0	-118.5	-4.8364	-2.7628	-94.346	0.619	-0.0017	4.9973
14.0	-118.0	-4.9535	-3.9411	-104.5992	0.5527	0.0001	3.7643
14.0	-117.5	-5.9022	-2.7814	-114.6435	0.5183	0.0031	4.2696
14.0	-117.0	-4.6924	-4.5062	-120.4056	0.5539	-0.0004	5.0331
14.0	-116.5	-5.5062	-4.3524	-104.1942	0.5003	0.0	4.0595
14.0	-116.0	-8.6219	-5.0224	-86.585	0.4673	-0.0007	6.2716
14.0	-115.5	-9.2354	-5.5446	-61.4765	0.4424	0.0002	9.3794
14.0	-115.0	-10.9918	2.8246	-22.4441	0.3899	0.007	14.0235
14.0	-114.5	-12.6	6.3714	24.0179	0.3308	0.0014	15.1136
14.0	-114.0	-11.7794	7.5615	39.7774	0.2874	-0.0002	12.2269
14.0	-113.5	-14.8473	7.697	89.9836	0.1845	0.0	10.4096
14.0	-113.0	-15.4885	6.5517	122.1717	0.1282	-0.0015	9.3232
14.0	-112.5	-15.5055	-0.2665	158.5984	0.1141	-0.0002	7.3921
14.0	-112.0	-15.8976	-5.3514	120.9532	0.1264	0.0015	5.4667
14.0	-111.5	-16.2743	-2.6202	86.6658	0.128	0.0019	6.0826
14.0	-111.0	-17.2707	-3.811	106.7349	0.1003	0.0007	2.111
14.0	-110.5	-18.384	-2.3492	102.6618	0.0633	0.0004	-0.1466
14.0	-110.0	-18.0934	4.8504	76.7475	0.0212	-0.0003	-0.1691
14.0	-109.5	-21.5602	3.2034	66.9817	-0.0274	0.0002	0.9617
14.0	-109.0	-21.6225	2.477	37.9559	-0.0622	0.0	0.9792
14.0	-108.5	-20.9595	3.3976	42.7562	-0.0573	-0.0007	1.98
14.0	-108.0	-18.5905	8.5588	25.2018	-0.0696	-0.0002	2.6686
14.0	-107.5	-17.0434	8.2488	3.4565	-0.0578	0.0	4.4759
14.0	-107.0	-15.4943	6.0696	-83.4389	-0.0304	0.0	0.662
14.0	-106.5	-14.6307	3.6538	-109.0416	-0.0543	0.0	-5.8442
14.0	-106.0	-14.7208	-0.1356	-122.3088	-0.0739	0.0	-7.1636
14.0	-105.5	-16.4757	-6.2605	-54.5837	-0.0904	0.0	-11.2473
