lat	lon	cMin	cMed	cMax
14.0	-120.0	4	2	5
14.0	-119.5	4	2	5
14.0	-119.0	4	2	5
14.0	-118.5	4	2	5
14.0	-118.0	4	2	5
14.0	-117.5	4	2	5
14.0	-117.0	4	2	5
14.0	-116.5	4	2	5
14.0	-116.0	4	2	5
14.0	-115.5	4	2	5
14.0	-115.0	3	2	5
14.0	-114.5	1	2	5
14.0	-114.0	1	2	5
14.0	-113.5	1	2	5
14.0	-113.0	1	2	5
14.0	-112.5	4	2	5
14.0	-112.0	4	2	5
14.0	-111.5	4	2	5
14.0	-111.0	4	2	5
14.0	-110.5	4	2	5
14.0	-110.0	1	2	5
14.0	-109.5	1	2	5
14.0	-109.0	1	2	5
14.0	-108.5	1	2	5
14.0	-108.0	1	2	5
14.0	-107.5	1	2	5
14.0	-107.0	1	2	5
14.0	-106.5	1	2	5
14.0	-106.0	4	2	5
14.0	-105.5	4	2	5
14.0	-105.0	4	2	5
14.0	-104.5	2	2	5
14.0	-104.0	2	2	5
14.0	-103.5	2	2	5
14.0	-103.0	2	2	5
14.0	-102.5	2	2	5
14.0	-102.0	2	2	5
14.0	-101.5	2	2	5
14.0	-101.0	2	2	5
14.0	-100.5	2	2	5
14.0	-100.0	2	1	5
14.0	-99.5	2	1	5
14.0	-99.0	2	1	5
14.0	-98.5	2	1	5
14.0	-98.0	2	1	5
14.0	-97.5	2	1	5
14.0	-97.0	2	1	5
14.0	-96.5	2	1	5
14.0	-96.0	4	1	5
14.0	-95.5	2	1	5
14.0	-95.0	4	1	5
14.0	-94.5	4	1	5
14.0	-94.0	2	1	5
14.0	-93.5	2	1	5
14.0	-93.0	2	1	5
14.0	-92.5	4	1	5
14.0	-92.0	4	1	5
14.0	-91.5	4	1	5
14.5	-120.0	4	2	5
14.5	-119.5	4	2	5
14.5	-119.0	4	2	5
14.5	-118.5	4	2	5
14.5	-118.0	4	2	5
14.5	-117.5	3	2	5
14.5	-117.0	4	2	5
14.5	-116.5	4	2	5
14.5	-116.0	4	2	5
14.5	-115.5	4	2	5
14.5	-115.0	4	2	5
14.5	-114.5	3	2	5
14.5	-114.0	1	2	5
14.5	-113.5	1	2	5
14.5	-113.0	4	2	5
14.5	-112.5	4	2	5
14.5	-112.0	4	2	5
14.5	-111.5	4	2	5
14.5	-111.0	4	2	5
14.5	-110.5	4	2	5
14.5	-110.0	4	2	5
14.5	-109.5	4	2	5
14.5	-109.0	4	2	5
14.5	-108.5	1	2	5
14.5	-108.0	1	2	5
14.5	-107.5	1	2	5
14.5	-107.0	1	2	5
14.5	-106.5	1	2	5
14.5	-106.0	1	2	5
14.5	-105.5	4	2	5
14.5	-105.0	4	2	5
14.5	-104.5	4	2	5
14.5	-104.0	2	2	5
14.5	-103.5	2	2	5
14.5	-103.0	2	2	5
14.5	-102.5	2	2	5
14.5	-102.0	2	2	5
14.5	-101.5	2	2	5
14.5	-101.0	2	2	5
14.5	-100.5	2	1	5
14.5	-100.0	2	1	5
14.5	-99.5	2	1	5
14.5	-99.0	2	1	5
14.5	-98.5	2	1	5
14.5	-98.0	2	1	5
14.5	-97.5	2	1	5
14.5	-97.0	2	1	5
14.5	-96.5	2	1	5
14.5	-96.0	4	1	5
14.5	-95.5	4	1	5
14.5	-95.0	2	1	5
14.5	-94.5	2	1	5
14.5	-94.0	2	1	5
14.5	-93.5	2	1	5
14.5	-93.0	4	1	5
14.5	-92.5	4	1	5
15.0	-120.0	4	2	5
15.0	-119.5	4	2	5
15.0	-119.0	4	2	5
15.0	-118.5	4	2	5
15.0	-118.0	4	2	5
15.0	-117.5	3	2	5
15.0	-117.0	3	2	5
15.0	-116.5	4	2	5
15.0	-116.0	4	2	5
15.0	-115.5	4	2	5
15.0	-115.0	4	2	5
15.0	-114.5	3	2	5
15.0	-114.0	4	2	5
15.0	-113.5	4	2	5
15.0	-113.0	4	2	5
15.0	-112.5	4	2	5
15.0	-112.0	4	2	5
15.0	-111.5	4	2	5
15.0	-111.0	4	2	5
15.0	-110.5	4	2	5
15.0	-110.0	4	2	5
15.0	-109.5	4	2	5
15.0	-109.0	1	2	5
15.0	-108.5	4	2	5
15.0	-108.0	4	2	5
15.0	-107.5	4	2	5
15.0	-107.0	4	2	5
15.0	-106.5	4	2	5
15.0	-106.0	4	2	5
15.0	-105.5	4	2	5
15.0	-105.0	4	2	5
15.0	-104.5	2	2	5
